time,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU,pos_flex,pos_dev,pos_pro
4.89,-0.00012713331957947652,0.0,2.514750310102096e-09,0.3561940356550529,2.0592908344239495e-11,0.4557494969123293,0.0,-7.116291137900259e-10,-1.7889542357422243e-09,0.0,-4.612941757741362e-09,0.0,0.344281148356766,0.0
4.9,-0.00014996914622188983,0.0,2.9683581600038736e-09,0.342118653283898,3.441567581011081e-11,0.4631710900573316,0.0,-6.836968744314667e-10,1.0250897371156874e-08,0.0,-4.239749736860747e-09,0.0,0.3451474935815249,0.0
4.91,-0.00016228540672820566,0.0,3.123231137994127e-09,0.32904300167376466,4.8002364228680876e-11,0.4699664625194963,0.0,-6.018246250714219e-10,1.5544702331873612e-08,0.0,-3.5766995420509433e-09,0.0,0.3459278208149747,0.0
4.92,-0.00015989212326557388,0.0,2.9748915682569018e-09,0.31742490339174384,5.978423848139331e-11,0.47589733576688936,0.0,-4.845874208161711e-10,1.3108888937822428e-08,0.0,-2.744686589353462e-09,0.0,0.3466219355832094,0.0
4.93,-0.00013910815998613687,0.0,2.5315124525944996e-09,0.30753179495163646,6.798204618302689e-11,0.48082399128260217,0.0,-3.497273749534689e-10,2.9050370695422553e-09,0.0,-1.8538110283923425e-09,0.0,0.347229664898277,0.0
4.94,-9.730648551858662e-05,0.0,1.8141999063650013e-09,0.2994526934346744,7.074385711757204e-11,0.4846991550556619,0.0,-2.127767625521712e-10,-1.413100243949001e-08,0.0,-9.958486848160277e-10,0.0,0.3477508573012912,0.0
4.95,-3.3488653220405333e-05,0.0,8.583085480071954e-10,0.29312953861881685,6.632803889502976e-11,0.4875518808671795,0.0,-8.616577683254392e-11,-3.612267122819598e-08,0.0,-2.398927630039052e-10,0.0,0.3481853829001785,0.0
4.96,5.11674411756727e-05,0.0,-2.8460180989476895e-10,0.28840140505726547,5.332341590506221e-11,0.48946478427172824,0.0,2.120946293503757e-11,-6.035328404150061e-08,0.0,3.6910745418154326e-10,0.0,0.3485331334020501,0.0
4.97,0.00015285449829953104,0.0,-1.5447892326325415e-09,0.28505466834250265,3.089231347695044e-11,0.4905481895701947,0.0,1.0401818064650634e-10,-8.343759820585067e-08,0.0,8.09375098511589e-10,0.0,0.3487940221401905,0.0
4.98,0.0002648531388970139,0.0,-2.8331139112111452e-09,0.2828724732179124,-9.842677129722473e-13,0.4909146151026527,0.0,1.6020750542012517e-10,-1.0156644012154682e-07,0.0,1.0794759872189793e-09,0.0,0.3489679840956566,0.0
4.99,0.0003774966825709113,0.0,-4.041433738524419e-09,0.28167763812557967,-4.1285977197896484e-11,0.49065661571140456,0.0,1.9048889399617763e-10,-1.1082259291035237e-07,0.0,1.1942436047998432e-09,0.0,0.349054975913482,0.0
5.0,0.0004784536468635914,0.0,-5.045421352298948e-09,0.2813643025826917,-8.778805156504655e-11,0.4898303970948367,0.0,1.9769119813197475e-10,-1.0756016278857217e-07,0.0,1.1800506501608859e-09,0.0,0.349054975913482,0.0
5.01,0.0005533818007621474,0.0,-5.7104540315517245e-09,0.2819150587008475,-1.369851872901732e-10,0.48844687806318343,0.0,1.8606521093350237e-10,-8.883168914987047e-08,0.0,1.069953588090096e-09,0.0,0.3489679840956566,0.0
5.02,0.0005869807902346758,0.0,-5.900949326901542e-09,0.28340190223057166,-1.8413676559066161e-10,0.4864710571935963,0.0,1.606108309744564e-10,-5.283785570023891e-08,0.0,8.991425192362238e-10,0.0,0.3487940221401905,0.0
5.03,0.0005644333425512021,0.0,-5.493130680369919e-09,0.28597100258175007,-2.2346107921040006e-10,0.4838296860452645,0.0,1.2648095733026514e-10,6.353324840644135e-10,0.0,7.010204314394555e-10,0.0,0.3485331334020501,0.0
5.04,0.0004731792245825686,0.0,-4.3907301770950366e-09,0.2898129451748584,-2.4849708415120936e-10,0.4804264031169863,0.0,8.849806708559173e-11,6.98364209093863e-08,0.0,5.04125902511101e-10,0.0,0.3481853829001785,0.0
